temps (s)	HR_4	HR_8	HR_12	FLX_8	FLX_16	T_4	T_8	T_12
618900	0.472041075	0.544024861	0.638301635	4.209739988	5.161812654	293.756588	289.7266324	285.2255629
619200	0.472072049	0.543990475	0.638303607	4.207786493	5.215109494	293.753223	289.7235422	285.2236315
619500	0.472104923	0.543956452	0.638305111	4.205856276	5.27640619	293.7498977	289.7204849	285.2215694
619800	0.472137797	0.543922428	0.638306615	4.203926285	5.337575356	293.7465725	289.7174275	285.2195074
620100	0.472185141	0.543890909	0.638302563	4.202629893	5.330574899	293.7439065	289.7145708	285.2158796
620400	0.472234094	0.543859667	0.638297895	4.201404003	5.316018243	293.7413139	289.7117363	285.2120779
620700	0.472283046	0.543828426	0.638293227	4.200178235	5.301472544	293.7387212	289.7089018	285.2082762
621000	0.472285475	0.543798043	0.638286186	4.19937732	5.303915277	293.7355263	289.7060511	285.203495
621300	0.472282734	0.543767756	0.638278882	4.198623662	5.308239296	293.7322644	289.7031986	285.198605
621600	0.472279993	0.543737468	0.638271578	4.197870066	5.312557371	293.7290026	289.7003461	285.193715
621900	0.472266825	0.543707836	0.638278403	4.196987086	5.278434941	293.725629	289.6974463	285.1912859
622200	0.472252499	0.543678275	0.638286798	4.196089804	5.239937946	293.722243	289.6945413	285.1891303
622500	0.472238173	0.543648715	0.638295193	4.195192604	5.201331825	293.718857	289.6916363	285.1869746
622800	0.472268657	0.543623322	0.638339133	4.193369653	5.00212797	293.7162803	289.6891668	285.1917683
623100	0.472304121	0.543598393	0.638387022	4.191444012	4.78354042	293.7137935	289.6867458	285.1973341
623400	0.472339585	0.543573463	0.638434911	4.189518558	4.563325326	293.7113067	289.6843247	285.2028999
623700	0.472369098	0.543557244	0.638524227	4.185602194	4.442205274	293.7088603	289.6829858	285.2161298
624000	0.47239795	0.543541992	0.638618146	4.181464817	4.33154599	293.7064184	289.6817673	285.2302112
624300	0.472426803	0.543526741	0.638712066	4.177327662	4.220203284	293.7039764	289.6805487	285.2442926
624600	0.472450913	0.54352392	0.638837397	4.170616448	4.098842428	293.7018569	289.6809405	285.2651995
624900	0.472474497	0.543522481	0.638966218	4.163619035	3.975625749	293.6997731	289.6815112	285.2868647
625200	0.472498082	0.543521041	0.639095039	4.156621434	3.851583328	293.6976894	289.6820819	285.30853
625500	0.472528198	0.543534909	0.639257096	4.146913738	3.712505902	293.6960811	289.684665	285.3367732
625800	0.472559041	0.543550477	0.639422847	4.136903674	3.570769518	293.6945257	289.6874718	285.3657473
626100	0.472589884	0.543566045	0.639588597	4.126892283	3.427939594	293.6929702	289.6902785	285.3947215
626400	0.472618811	0.543597578	0.639768076	4.114627489	3.486366429	293.6917271	289.6952072	285.4261677
626700	0.472647525	0.543630885	0.639949081	4.102109473	3.567393082	293.6905186	289.7003716	285.4578886
627000	0.47267624	0.543664192	0.640130086	4.089588377	3.648599869	293.6893101	289.7055361	285.4896095
627300	0.472729245	0.543712939	0.640324875	4.075634706	3.524550145	293.6890343	289.7127454	285.5235821
627600	0.47278495	0.543763402	0.640521197	4.061517255	3.376766359	293.6888621	289.720182	285.5578048
627900	0.472840654	0.543813865	0.640717518	4.04739476	3.228017547	293.68869	289.7276186	285.5920276
628200	0.472885356	0.543880194	0.640950456	4.031544995	2.986217301	293.6887383	289.7371518	285.6329717
628500	0.472928836	0.543948287	0.641187462	4.015496423	2.731600868	293.6888111	289.7469181	285.6746627
628800	0.472972315	0.54401638	0.641424468	3.999440277	2.474314845	293.6888839	289.7566843	285.7163537
629100	0.473062035	0.544103536	0.641707642	3.981112636	2.317148084	293.6905337	289.7689775	285.766727
629400	0.473156893	0.544192811	0.641995946	3.962522293	2.169862355	293.6923587	289.7815514	285.8180651
629700	0.473251751	0.544282086	0.642284249	3.943920606	2.021096132	293.6941837	289.7941254	285.8694031
630000	0.473310248	0.544392161	0.642607169	3.922497142	1.974964261	293.6958041	289.8094752	285.9268577
630300	0.473364706	0.544504547	0.642933934	3.900745113	1.94004115	293.6974018	289.8251335	285.9849918
630600	0.473419164	0.544616933	0.6432607	3.87897653	1.904817478	293.6989995	289.8407918	286.043126
630900	0.473509661	0.544751402	0.643621026	3.854649543	1.765408667	293.7020652	289.8593945	286.1068364
631200	0.473604163	0.544888325	0.643985081	3.830017737	1.613063108	293.7052941	289.8783243	286.1711664
631500	0.473698664	0.545025247	0.644349136	3.805363233	1.459265981	293.7085229	289.8972541	286.2354964
631800	0.473824002	0.545187825	0.644778556	3.777631723	1.101319949	293.7130431	289.9195942	286.3115469
632100	0.473952767	0.545353253	0.64521524	3.749530175	0.715234894	293.7177068	289.9423131	286.3888997
632400	0.474081531	0.545518681	0.645651923	3.721397538	0.323313509	293.7223706	289.965032	286.4662526
632700	0.47420521	0.545710507	0.646106452	3.690491449	0.3928715	293.7278456	289.9912844	286.5457109
