temps (s)	HR_4	HR_8	HR_12	FLX_8	FLX_16	T_4	T_8	T_12
1003800	0.708384403	0.719383331	0.765279511	1.839109597	10.23815525	296.6066224	295.1079965	292.4042775
1004100	0.70841532	0.719295628	0.76478185	1.901542957	10.31195802	296.6073223	295.0700542	292.2635434
1004400	0.708446238	0.719207925	0.764284189	1.963957048	10.38551936	296.6080222	295.0321118	292.1228093
1004700	0.708465419	0.719091283	0.763794519	2.02942101	10.28602631	296.6039733	294.9864863	291.9799599
1005000	0.708484601	0.718974641	0.763304849	2.094860523	10.18665789	296.5999244	294.9408608	291.8371105
1005300	0.708503783	0.718858	0.762815179	2.16027559	10.0874139	296.5958755	294.8952353	291.6942611
1005600	0.708483769	0.718718526	0.762356094	2.224340215	9.985937322	296.583252	294.8432512	291.5583711
1005900	0.708463754	0.718579053	0.761897009	2.288377456	9.884587539	296.5706286	294.7912671	291.422481
1006200	0.70844374	0.71843958	0.761437924	2.352387313	9.783364543	296.5580051	294.739283	291.286591
1006500	0.708413607	0.718287072	0.761056345	2.410880795	9.358968102	296.5424445	294.6831441	291.1692585
1006800	0.708383474	0.718134564	0.760674767	2.46934719	8.934352587	296.5268839	294.6270053	291.051926
1007100	0.708353341	0.717982056	0.760293188	2.527786497	8.509516375	296.5113232	294.5708664	290.9345936
1007400	0.708313535	0.717828967	0.760000896	2.577179615	8.073391759	296.4935904	294.5136654	290.8428372
1007700	0.708273729	0.717675877	0.759708604	2.626549372	7.636978056	296.4758575	294.4564645	290.7510808
1008000	0.708233922	0.717522788	0.759416312	2.675895768	7.200275207	296.4581247	294.3992635	290.6593244
1008300	0.708182437	0.717378654	0.759201405	2.714088475	7.013115948	296.4355369	294.3435261	290.589122
1008600	0.708130951	0.717234521	0.758986498	2.752263534	6.825895662	296.412949	294.2877887	290.5189196
1008900	0.708079465	0.717090387	0.75877159	2.790420947	6.63861432	296.3903612	294.2320513	290.4487172
1009200	0.708025818	0.716960328	0.75859355	2.818611912	6.614173963	296.3672974	294.1792275	290.3910426
1009500	0.70797217	0.71683027	0.758415509	2.846790493	6.589736661	296.3442336	294.1264037	290.3333681
1009800	0.707918523	0.716700212	0.758237469	2.874956688	6.565302414	296.3211698	294.0735799	290.2756936
1010100	0.707854772	0.716584859	0.758076339	2.895884742	6.555255471	296.296083	294.0240238	290.2236653
1010400	0.707791021	0.716469506	0.757915209	2.916804136	6.545211248	296.2709962	293.9744677	290.171637
1010700	0.70772727	0.716354153	0.757754079	2.93771487	6.535169744	296.2459094	293.9249115	290.1196086
1011000	0.707665844	0.716248931	0.757556426	2.955611977	7.293474239	296.219234	293.8776208	290.0571094
1011300	0.707604418	0.716143709	0.757358773	2.973502	8.050371728	296.1925587	293.83033	289.9946101
1011600	0.707542992	0.716038487	0.757161121	2.99138494	8.80586524	296.1658834	293.7830392	289.9321108
1011900	0.70747773	0.715936038	0.756915343	3.011069938	8.973038019	296.1392598	293.7361274	289.8543106
1012200	0.707412467	0.715833589	0.756669566	3.030747229	9.139902518	296.1126363	293.6892156	289.7765104
1012500	0.707347204	0.71573114	0.756423789	3.050416812	9.306458737	296.0860127	293.6423038	289.6987103
1012800	0.707289176	0.715626794	0.756171299	3.073522271	9.113465187	296.0596186	293.5944741	289.6150479
1013100	0.707231148	0.715522447	0.75591881	3.09661853	8.920619849	296.0332244	293.5466444	289.5313856
1013400	0.70717312	0.715418101	0.75566632	3.11970559	8.727922712	296.0068303	293.4988147	289.4477233
1013700	0.707122281	0.715312094	0.755431591	3.144773571	8.677167543	295.981388	293.4500402	289.3679711
1014000	0.707071443	0.715206087	0.755196861	3.169831381	8.62642606	295.9559457	293.4012657	289.2882189
1014300	0.707020604	0.71510008	0.754962131	3.194879018	8.575698195	295.9305035	293.3524911	289.2084666
1014600	0.706972789	0.714995946	0.754767464	3.219137993	8.29883912	295.905245	293.3036605	289.1393469
1014900	0.706924975	0.714891812	0.754572797	3.243387103	8.021929321	295.8799866	293.2548299	289.0702271
1015200	0.70687716	0.714787678	0.75437813	3.267626346	7.744968783	295.8547282	293.2059994	289.0011074
1015500	0.706830995	0.714689695	0.75422816	3.288735947	7.59258295	295.8294971	293.1582802	288.9433698
1015800	0.70678483	0.714591712	0.754078189	3.309837137	7.440180272	295.804266	293.110561	288.8856322
1016100	0.706738665	0.714493729	0.753928218	3.330929915	7.287760731	295.7790349	293.0628419	288.8278946
