"datetime","Ti","Te","P"
2023-04-07 20:00:00,21.0177083333333,8.00833333333333,1127.54769093721
2023-04-07 22:00:00,21.0220833333333,6.25416666666667,1095.38405947914
2023-04-08 00:00:00,21.02375,5.25833333333333,1073.81388956517
2023-04-08 02:00:00,21.010625,3.38125,1101.34378563697
2023-04-08 04:00:00,21.0091666666667,3.11875,1131.88163664987
2023-04-08 06:00:00,21.0147916666667,6.35625,1107.55551626831
2023-04-08 08:00:00,21.01375,9.86458333333333,1085.30723412689
2023-04-08 10:00:00,21.0291666666667,11.9916666666667,1026.17233856949
2023-04-08 12:00:00,21.028125,13.86875,947.359300254894
2023-04-08 14:00:00,21.0375,14.3770833333333,824.811208271071
2023-04-08 16:00:00,21.0379166666667,13.1354166666667,683.767619925664
2023-04-08 18:00:00,21.0239583333333,9.38958333333333,639.181172782463
2023-04-08 20:00:00,21.0133333333333,7.13125,706.782571895215
2023-04-08 22:00:00,21.0222916666667,5.88125,771.675458994269
2023-04-09 00:00:00,21.0166666666667,4.13125,832.38525756287
2023-04-09 02:00:00,21.0102083333333,3.12708333333333,883.549375128339
2023-04-09 04:00:00,21.016875,3.12291666666667,944.349867576736
2023-04-09 06:00:00,21.003125,6.35104166666667,1001.39371175581
2023-04-09 08:00:00,21.0183333333333,12.1010416666667,958.153720734248
2023-04-09 10:00:00,21.0314583333333,15.7458333333333,910.589885939795
2023-04-09 12:00:00,21.0352083333333,16.7458333333333,791.769488463466
2023-04-09 14:00:00,21.035,17.6229166666667,649.902354479222
2023-04-09 16:00:00,21.0285416666667,16.3854166666667,500.356405455269
2023-04-09 18:00:00,21.0147916666667,14.0083333333333,452.967505841202
2023-04-09 20:00:00,21.0079166666667,11.8854166666667,458.252372635163
2023-04-09 22:00:00,21.0152083333333,10.0041666666667,501.731509969942
2023-04-10 00:00:00,21.0102083333333,9.00416666666667,538.751802657228
2023-04-10 02:00:00,21.0208333333333,8.12708333333333,559.376879112811
2023-04-10 04:00:00,21.0377083333333,8.24583333333333,612.612373272372
2023-04-10 06:00:00,21.033125,11.35625,631.863125029634
2023-04-10 08:00:00,21.0358333333333,14.2416666666667,612.86857873505
2023-04-10 10:00:00,21.02125,15.6229166666667,557.654920657421
2023-04-10 12:00:00,21.0227083333333,16.4958333333333,529.259872967891
2023-04-10 14:00:00,21.0258333333333,14.7625,457.385429151208
2023-04-10 16:00:00,21.0119230769231,13.4666666666667,434.149806275472
