"datetime","ti","te","Q","isol"
2014-02-17 00:00:00,18.4195004666667,2.20503265,99.9999999999091,0
2014-02-17 01:00:00,17.6249056666667,2.87011291666667,0,0
2014-02-17 02:00:00,17.0496685333333,3.13540818333333,0,0
2014-02-17 03:00:00,16.5979076333333,3.40993868333333,0,0
2014-02-17 04:00:00,16.1169602333333,3.80299336666667,0,0
2014-02-17 05:00:00,15.6937451333333,4.10422686666667,0,0
2014-02-17 06:00:00,17.8421555333333,4.38676171666667,7083.33333333371,0
2014-02-17 07:00:00,16.4841348666667,4.16782778333333,5699.99999999936,0
2014-02-17 08:00:00,16.6460675,4.70644436666667,7250.00000000023,5.55555555555556
2014-02-17 09:00:00,17.0593839666667,6.02906006666667,2799.99999999973,32.5
2014-02-17 10:00:00,16.2030026666667,6.92153831666667,166.666666666515,77.7777777777778
2014-02-17 11:00:00,15.6964313333333,7.25978368333333,0,147.222222222222
2014-02-17 12:00:00,15.5846954333333,8.41493786666667,0,98.0555555555556
2014-02-17 13:00:00,15.2573685333333,8.61031,0,182.222222222222
2014-02-17 14:00:00,14.985741,8.28434301666667,0,149.722222222222
2014-02-17 15:00:00,16.8279901333333,8.25511516666667,7266.66666666688,83.6111111111111
2014-02-17 16:00:00,17.2145232,8.0705343,5750.00000000045,84.1666666666667
2014-02-17 17:00:00,17.7020675,7.70957905,5916.66666666697,19.4444444444444
2014-02-17 18:00:00,21.4293272333333,7.56656895,6833.3333333328,0.555555555555556
2014-02-17 19:00:00,21.970818,7.11971536666667,6950.0000000005,0
2014-02-17 20:00:00,22.2334531666667,6.99170576666667,6699.99999999959,0
2014-02-17 21:00:00,22.6204811,6.41961231666667,5883.33333333367,0
2014-02-17 22:00:00,21.9324261,6.59790606666667,6166.66666666674,0
2014-02-17 23:00:00,18.6691724333333,6.78818385,1266.66666666665,0
2014-02-18 00:00:00,17.4680246333333,6.9322893,66.666666666606,0
2014-02-18 01:00:00,16.8372731666667,6.67367541666667,0,0
2014-02-18 02:00:00,16.4139328333333,6.43333035,0,0
2014-02-18 03:00:00,16.1318529666667,6.26863411666667,0,0
2014-02-18 04:00:00,15.8101076,6.1185807,0,0
2014-02-18 05:00:00,15.4909053,6.37606386666667,310.606060606088,0
2014-02-18 06:00:00,17.3527214,6.42290628333333,621.212121212176,0
2014-02-18 07:00:00,17.224002,6.52670005,931.818181818264,0
2014-02-18 08:00:00,17.3830981666667,6.69889605,1242.42424242435,6.11111111111111
2014-02-18 09:00:00,17.5139213666667,7.2218857,1553.03030303044,28.6111111111111
2014-02-18 10:00:00,16.9515265666667,7.68521318333333,1863.63636363653,98.3333333333333
2014-02-18 11:00:00,18.3128731,8.4568819,2174.24242424262,173.333333333333
2014-02-18 12:00:00,18.8359834333333,9.4247324,2484.84848484871,167.777777777778
2014-02-18 13:00:00,17.5170775666667,9.62827483333333,2795.45454545479,278.611111111111
2014-02-18 14:00:00,17.3178764,9.81711073333333,3106.06060606088,155.833333333333
2014-02-18 15:00:00,17.1518223333333,9.1768599,3416.66666666697,100.833333333333
2014-02-18 16:00:00,18.0871181,8.23232378333333,5083.33333333326,95.2777777777778
2014-02-18 17:00:00,18.4926438333333,6.08341491666667,4183.33333333294,38.0555555555556
2014-02-18 18:00:00,21.8640865,5.22052233333333,5196.66666666694,3.33333333333333
2014-02-18 19:00:00,22.0559778333333,6.20659806666667,7053.33333333328,0
2014-02-18 20:00:00,22.1023695333333,6.23874706666667,4983.33333333335,0
2014-02-18 21:00:00,22.4715864666667,6.60361413333333,4516.66666666597,0
2014-02-18 22:00:00,21.7477848666667,6.47452633333333,5433.33333333408,0
2014-02-18 23:00:00,19.3161549,6.1549963,1166.66666666674,0
2014-02-19 00:00:00,18.1342936,5.82040333333333,66.666666666606,0
2014-02-19 01:00:00,17.4717937,5.11676946666667,0,0
2014-02-19 02:00:00,16.9343313666667,5.36920943333333,0,0
2014-02-19 03:00:00,16.5086596,5.0699936,0,0
2014-02-19 04:00:00,16.1828720333333,5.48527353333333,0,0
2014-02-19 05:00:00,15.8952959666667,5.59481381666667,0,0
2014-02-19 06:00:00,17.5072544666667,5.62907678333333,5583.3333333328,0
2014-02-19 07:00:00,17.4610668,5.76481166666667,5049.99999999995,0
2014-02-19 08:00:00,17.4175246,6.16530663333333,5706.66666666739,8.33333333333333
2014-02-19 09:00:00,17.1986745666667,7.07033156666667,3059.99999999926,48.8888888888889
2014-02-19 10:00:00,16.6596105333333,7.58700815,83.3333333332575,97.7777777777778
2014-02-19 11:00:00,16.7031089333333,8.2132367,16.6666666666515,224.444444444444
2014-02-19 12:00:00,17.38111,9.3689382,0,380.833333333333
2014-02-19 13:00:00,16.8801816666667,9.38749016666667,0,372.777777777778
2014-02-19 14:00:00,16.3090911,9.17612906666667,0,393.888888888889
2014-02-19 15:00:00,16.6910295333333,9.1146545,5000.00000000114,308.055555555556
2014-02-19 16:00:00,17.8506064,8.71967593333333,5183.33333333203,161.388888888889
2014-02-19 17:00:00,18.3236068,7.90893141666667,4216.66666666738,36.6666666666667
2014-02-19 18:00:00,21.4933997,7.25549001666667,5950.00000000027,2.22222222222222
2014-02-19 19:00:00,21.9716005,6.96347375,6816.66666666615,0
2014-02-19 20:00:00,22.2965466,6.65948056666667,6000.00000000023,0
2014-02-19 21:00:00,22.6136296,6.91657985,4916.66666666674,0
2014-02-19 22:00:00,21.9762604,7.36250721666667,5816.66666666592,0
2014-02-19 23:00:00,19.1519292333333,7.69181091666667,1233.33333333335,0
