Time,T_ext,P_hea,I_sol,T_int
0.0,16.233909324453,0.0,13.8176183700562,30.281171905848897
1800.0,15.8362562856332,0.0,13.8282108306885,30.20994413167687
3600.0,15.4842938042832,0.0,13.814245223999,30.155674765507776
5400.0,15.2727139053038,0.0,13.8470239639282,30.086921935276955
7200.0,14.9991609509923,0.0,13.8413553237915,30.023878583636176
9000.0,14.7901211481289,0.0,13.8375339508057,29.957429935097803
10800.0,14.4330388003048,0.0,13.8450489044189,29.885530841349926
12600.0,14.22235912877,0.0,13.8296403884888,29.821466418499874
14400.0,14.044179273848,0.0,13.8542613983154,29.7502527773606
16200.0,13.891461780699,0.0,13.8185253143311,29.685512730649776
18000.0,13.662397821098,0.0,13.8003787994385,29.605840837403697
19800.0,13.5351464682211,0.0,13.8563232421875,29.5409723545318
21600.0,13.5096963865708,0.0,13.783519744873,29.478352788354528
23400.0,13.3623613655932,0.0,16.6507797241211,29.40714223029585
25200.0,13.331555261266,0.0,28.8773956298828,29.33415811299965
27000.0,13.586046631522,0.0,53.3089561462402,29.277676053509722
28800.0,14.1680554822762,0.0,188.106460571289,29.290876229028623
30600.0,15.1863931454754,0.0,226.906494140625,29.271803432232602
32400.0,16.167888551807,0.0,276.120239257812,29.220175721054602
34200.0,16.9104722848858,0.0,445.020568847656,29.166553856758924
36000.0,17.4657643121184,0.0,205.440414428711,29.129089371583248
37800.0,18.2694454333298,0.0,576.868835449219,29.077627172726498
39600.0,19.1034509002148,0.0,581.941040039063,29.0575944397633
41400.0,19.9291682290106,0.0,811.355163574219,29.025231967466024
43200.0,20.737844526221,0.0,900.475341796875,29.0058233537623
45000.0,21.3574031578261,0.0,658.081726074219,28.928155501914425
46800.0,21.8699868081165,0.0,592.44873046875,28.876379964882847
48600.0,22.368212161284,0.0,381.011413574219,28.849454557901772
50400.0,22.6841740464727,0.0,820.363464355469,28.818126473320422
52200.0,23.3988091652767,0.0,847.880981445313,28.798710595141124
54000.0,23.9604150647442,0.0,821.8828125,28.7636244483737
55800.0,24.4025127009083,0.0,780.073059082031,28.741059701742124
57600.0,24.8244539328613,0.0,724.323303222656,28.727518909518274
59400.0,25.2882288191817,0.0,657.751831054688,28.721048142354274
61200.0,25.5892731893596,0.0,578.907531738281,28.6942201608655
63000.0,26.2081309093552,0.0,479.663940429688,28.675742193889374
64800.0,28.1594858335998,2040.0,401.462799072266,28.64985479272445
66600.0,27.5654755246255,1920.0,68.9074020385742,30.3589384774043
68400.0,26.6024532010923,1980.0,57.4547462463379,30.916932983827323
70200.0,25.3698897448188,1920.0,62.5815353393555,31.35298511994295
72000.0,24.5987207203428,1920.0,55.1831359863281,31.686977440078024
73800.0,23.8236995158888,1920.0,26.9441833496094,31.990626077966525
75600.0,22.7765980272031,1920.0,14.4201412200928,32.272876226285355
77400.0,21.6281571888235,1980.0,13.7412137985229,32.54159527102932
79200.0,20.7546248413587,1860.0,13.7987623214722,32.784158617864875
81000.0,20.124323936406,1920.0,13.8109321594238,32.9762670545427
82800.0,19.5722039592878,1920.0,13.8531589508057,33.16403137017797
84600.0,19.1642941842733,1980.0,13.8405542373657,33.362088610907996
86400.0,18.7564335297489,1920.0,13.837197303772,33.5747536101885
88200.0,18.3146400627738,1920.0,13.8546686172485,33.74735188150348
90000.0,17.9408633606698,1980.0,13.8557586669922,33.93191377938508
91800.0,17.6250904004433,1920.0,13.8659324645996,34.09931753868455
93600.0,17.2807368719436,1980.0,13.9288082122803,34.27760796235485
95400.0,17.0457104405373,1920.0,13.8648719787598,34.429976127810626
97200.0,16.8197788568086,1920.0,13.8822822570801,34.54151749544253
99000.0,16.5905146367478,1920.0,13.9282188415527,34.70144653923635
100800.0,16.4631508735184,1920.0,13.8865346908569,34.81677215875267
102600.0,16.233909324453,1920.0,13.8930778503418,34.962446758255695
104400.0,16.0810907564492,1920.0,13.9054555892944,35.09473524878375
106200.0,15.8773436864003,1980.0,13.8978414535522,35.218799622155444
108000.0,15.729902867444,1920.0,13.9327297210693,35.33919117261505
109800.0,15.5462810289874,1920.0,15.4624481201172,35.46816547228823
111600.0,15.5462810289874,1920.0,24.1574535369873,35.5929169354881
113400.0,15.6736088964739,1980.0,36.5601081848145,35.692211721046775
115200.0,16.1469717246232,1980.0,149.567016601563,35.91004268199513
117000.0,17.0371729214979,2040.0,245.73112487793,36.10272506758587
118800.0,18.157989151913,2040.0,296.077239990234,36.26238626263046
120600.0,18.8750481779813,2100.0,417.544952392578,36.42343364682188
122400.0,19.7374226171819,2040.0,235.155029296875,36.56745380944783
124200.0,21.0564022403896,2100.0,588.253540039063,36.7323158626355
126000.0,21.8300386248712,2100.0,660.329833984375,36.885855394337796
127800.0,22.5888122825809,2100.0,733.615295410156,37.07392411890162
129600.0,23.2120757326937,2100.0,781.783386230469,37.24262617478608
131400.0,23.9604150647442,2100.0,825.808227539063,37.43009558652333
133200.0,24.8036835225231,2100.0,855.939697265625,37.5833341264323
135000.0,25.2078620295353,2160.0,862.6357421875,37.77585764935055
136800.0,25.3460304113497,2100.0,851.553588867188,37.9369783431655
138600.0,26.0006629621768,2160.0,834.566284179688,38.1431751711305
140400.0,26.539922817122,2100.0,805.098571777344,38.3221277367681
142200.0,27.0509553934731,2100.0,762.272766113281,38.48634781203368
144000.0,27.5876250871872,2100.0,706.713073730469,38.6290539342679
145800.0,27.8220828544574,2040.0,639.640869140625,38.7633473611922
147600.0,28.0732567023781,2040.0,567.566040039063,38.90773272368403
149400.0,28.7617842806635,2040.0,489.043151855469,39.0144817315939
151200.0,30.7586417820406,0.0,400.466430664063,39.15211594106785
153000.0,31.524832633764,0.0,306.793334960937,37.63695163762125
154800.0,33.0359017122316,0.0,207.693450927734,37.06282012954547
156600.0,30.0351630857585,0.0,36.5788459777832,36.71746363132415
158400.0,27.6580808733195,0.0,22.6242847442627,36.438068375835144
160200.0,25.9130093367405,0.0,17.940746307373,36.2013128378858
162000.0,24.7675931870048,0.0,14.5848321914673,35.984110232211854
163800.0,23.9416038062635,0.0,14.2674970626831,35.79695525352472
165600.0,23.1435639844218,0.0,14.33434009552,35.613749163079525
167400.0,22.4477892445886,0.0,14.3195133209229,35.44033563187625
169200.0,21.8013031381291,0.0,14.309121131897,35.28186807597577
171000.0,21.2043493782445,0.0,14.3249025344849,35.119579248107755
172800.0,20.8982607115774,0.0,14.355471611023,34.981592536605326
174600.0,20.3764310736397,0.0,14.3526000976563,34.83626464407902
176400.0,19.9905650632082,0.0,14.2914772033691,34.70658853334758
178200.0,19.6486940087111,0.0,14.3248729705811,34.574489289088426
180000.0,19.2917599669821,0.0,14.3607883453369,34.45373775537365
181800.0,18.9437035092244,0.0,14.269627571106,34.32295292929385
183600.0,18.6799661513211,0.0,14.3269853591919,34.21269445768328
185400.0,18.4760575504296,0.0,14.2828893661499,34.090702300172524
187200.0,18.119251977675,0.0,14.2699699401855,33.9805021646941
189000.0,17.9153792725262,0.0,14.3073034286499,33.85819130248548
190800.0,17.6431213988303,0.0,14.2871704101562,33.75363367552885
192600.0,17.4057522978934,0.0,14.25,33.637132756255546
194400.0,17.1047079277156,0.0,14.2682914733887,33.531613977011475
196200.0,16.9981089070755,0.0,15.9778804779053,33.42757650412473
198000.0,17.5076716472212,0.0,26.4401321411133,33.31219794604677
199800.0,17.9663455595638,0.0,39.9553527832031,33.2221651575509
201600.0,18.7445388141323,0.0,133.639831542969,33.2000680856081
203400.0,19.5681250693551,0.0,222.445388793945,33.138340050592625
205200.0,20.4929429870435,0.0,325.589508056641,33.053661972774826
207000.0,21.4594434191297,0.0,433.499603271484,32.9606949020688
208800.0,22.0307940681446,0.0,480.424468994141,32.89813794229782
210600.0,22.7486446898043,0.0,579.437622070313,32.83334034829383
212400.0,23.3415497877502,0.0,645.264343261719,32.787369782552176
214200.0,23.8579572792744,0.0,709.78515625,32.741929405334425
216000.0,24.2463605519475,0.0,753.700134277344,32.690784388546575
217800.0,24.5987207203428,0.0,689.725219726563,32.651215197335276
219600.0,25.5281786351015,0.0,331.787994384766,32.60373709771738
221400.0,26.1352436589601,0.0,380.154022216797,32.574156751280796
223200.0,26.6878472839814,0.0,225.16291809082,32.53528020119637
225000.0,26.5889790727923,0.0,501.313415527344,32.49640368742
226800.0,27.3122934043572,0.0,841.778564453125,32.4418884587217
228600.0,27.6424888961938,0.0,726.158325195313,32.40569208046493
230400.0,27.9986181175839,0.0,470.237396240234,32.36681843607123
232200.0,28.2419666935727,0.0,653.2431640625,32.33319365367172
234000.0,28.1438069509915,0.0,193.427978515625,32.28983693305633
235800.0,28.5616862962584,0.0,530.140075683594,32.2533897923346
237600.0,29.0958735159699,0.0,147.343780517578,32.214901449650654
239400.0,28.6612233018135,0.0,113.309379577637,32.1789270876525
241200.0,28.0415607614792,0.0,42.5481643676758,32.13754836164022
243000.0,27.1340068068316,0.0,34.2273902893066,32.085328465004196
244800.0,26.26195563107,0.0,16.6729984283447,32.03175882044898
246600.0,24.3767471145711,0.0,15.5750780105591,31.98854374859475
248400.0,23.119383478517,0.0,14.2146244049072,31.932742864069976
250200.0,22.2681593905821,0.0,14.1523475646973,31.867957640433673
252000.0,21.6414707309057,0.0,14.1254940032959,31.80317961018775
253800.0,21.3318945094375,0.0,14.0445289611816,31.739091543515002
